url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/4237790,Suzuki S-Cross Hybrid 4WD MT,2024,sõiduauto,luukpära,1.4 95kW,,34000,nelikvedu,manuaal,hall,22490
https://www.auto24.ee/soidukid/4185144,Toyota C-HR,2022,sõiduauto,luukpära (LUUKPÄRA),1.8 72kW,hübriid (bensiin / elekter),86687,esivedu,automaat,hall met. (Gray metallik),22490
https://www.auto24.ee/soidukid/4230864,Volkswagen Golf,2022,sõiduauto,universaal,2.0 110kW,diisel,135239,esivedu,automaat,must met.,22490
https://www.auto24.ee/soidukid/4241841,BMW 320 XDRIVE,2020,sõiduauto,universaal,2.0 140kW,hübriid (diisel / elekter),180000,nelikvedu,automaat,must (Black Sapphire 475),22499
https://www.auto24.ee/soidukid/4240707,BMW X5 X-Drive 40D,2014,maastur,universaal,3.0 230kW,diisel,178500,nelikvedu,automaat,must,22499
https://www.auto24.ee/soidukid/4219393,Land Rover Range Rover SV Operations,2013,maastur,universaal,4.4 250kW,diisel,238100,nelikvedu,automaat,kuldne met.,22499
https://www.auto24.ee/soidukid/4213112,SEAT Tarraco Xcellence,2019,sõiduauto,universaal,2.0 140kW,diisel,120000,nelikvedu,automaat,hall,22499
https://www.auto24.ee/soidukid/4171690,Audi A7 Quattro S-Line BiTurbo,2015,sõiduauto,luukpära,3.0 235kW,diisel,236000,nelikvedu,automaat,tumeroheline (Kile),22500
https://www.auto24.ee/soidukid/4230544,Audi A8 Long,2013,sõiduauto,sedaan,4.1 258kW,diisel,217963,nelikvedu,automaat,valge,22500
https://www.auto24.ee/soidukid/3883321,BMW 530,2018,sõiduauto,universaal,3.0 195kW,diisel,180000,nelikvedu,automaat,valge met.,22500
https://www.auto24.ee/soidukid/3922064,BMW 540,2017,sõiduauto,sedaan,,diisel,275000,nelikvedu,automaat,sinine met.,22500
